Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,3,0.6201,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",jt masih ada iklan kamera geter mending s fe
1,0,0.5077,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",kenapa ya hp redmi banyak iklan punyaku redmi tobat smaa iklannya
2,4,0.6838,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",poco x pro bukan hanya kamera tapi kamera
3,2,0.9514,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",poco f ku sdh ganti lcd dan batrei performa game udah down bnget
4,4,0.6774,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",poco udh maen di flagship cuyy
5,3,0.9178,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",apa gw doank yang make prdouk xiaomi tapi ga masalah dengan iklan nya
6,1,0.8144,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",redmagic iqoo
7,2,0.8697,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",tecno spark pro
8,4,0.8679,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",sepemikiran mirip mata sahringan
9,3,0.5787,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",keterlaluan sih customer suruh beli papan iklan dengan ada iklan harusnya hp sudah di bayar pengiklan ini masih dijual jt ke pelanggan
10,5,0.8653,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",wkwkwkwk yg penting nambah untung bang
11,0,0.6891,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",dah lah gw masih siswa wajar hp bisa sanggup harga jtan
12,0,0.9432,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",juta udeh bagus ngab siswa budget jutaan merenung
13,1,0.8664,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",galaxco temen gw ada yg iphone biasa
14,4,0.9283,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",kameranya kayak mata sharingan di anime naruto
15,4,0.9554,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",salut sih sama poco walaupun dia flagship poco se enggaknya dia kgk ngasih kamera dummy kek brand sebelah
16,0,0.6899,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",kek siapa tuh
17,2,0.6267,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",android tetaplah android sekelas f ultra masih ada jitter nya pas video
18,0,0.6899,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",ultra dong
19,1,0.5692,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",kenapa orang pada pusing sama iklan di poco ya padahal gampang banget hilangin di settingan
20,4,0.9154,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",adguard kadang error ga bisa konek sama skali
21,3,0.779,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",yg masalahin iklan kenapa sih user xiaomi udah pasti bisa akalin hal sepele begitu
22,5,0.8653,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",ad vidio baru langsung klik
23,3,0.5202,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",tim lihat lihat doang
24,2,0.8697,"pro, poco, beli, nonton, tim, doang, review, pake, ultra, alhamdulillah",tim yang otw beli
25,0,0.9127,"poco, ultra, iqoo, harga, juta, beli, kamera, iphone, samsung, tunggu",harga sama dengan iqoo ram worth mana tuh kira
26,1,0.8144,"iqoo, mending, , poco, harga, infinix, mahal, kamera, beli, salam",iqoo lebih mahal
27,3,0.9395,"iklan, xiaomi, harga, beli, poco, juta, mending, pake, komen, pro",nunggu lebaran harganya pasti terjun bebas tapi yahh sekali lagi iklan
28,5,0.5905,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",lebaran apa mksd u tahun depan udah pasti keluar yg baru lg lebih menggiurkan
29,4,0.8166,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",msh jitter sih
30,5,0.9365,"beli, api, kopi, kapal, review, david, game, coba, gua, langsung",setelah nonton vidio ini saya memilih membeli kopi kapal api
31,4,0.8166,"poco, iklan, kamera, harga, flagship, xiaomi, bagus, nggak, ultra, juta",logonya mirip shareit
