id,text,clean_text,tokens,tokens_without_stopwords,stemmed_tokens
Ugw1GlvRwhnMR0lPXEd4AaABAg,"10jt masih ada iklan, kamera geter😂 mending s24 fe",jt masih ada iklan kamera geter mending s fe,"['jt', 'masih', 'ada', 'iklan', 'kamera', 'geter', 'mending', 's', 'fe']","['iklan', 'kamera', 'geter', 'mending']","['iklan', 'kamera', 'geter', 'mending']"
Ugwstwjevd0F5TsnSzV4AaABAg,Kenapa ya hp redmi banyak iklan punyaku redmi 12..tobat smaa iklannya 😂😂,kenapa ya hp redmi banyak iklan punyaku redmi tobat smaa iklannya,"['kenapa', 'ya', 'hp', 'redmi', 'banyak', 'iklan', 'punyaku', 'redmi', 'tobat', 'smaa', 'iklannya']","['redmi', 'iklan', 'punyaku', 'redmi', 'tobat', 'smaa', 'iklannya']","['redmi', 'iklan', 'punya', 'redmi', 'tobat', 'smaa', 'iklan']"
Ugy9yh_MroOjHSifNu14AaABAg,6:05 poco x3 pro bukan hanya 3 kamera tapi 4 kamera,poco x pro bukan hanya kamera tapi kamera,"['poco', 'x', 'pro', 'bukan', 'hanya', 'kamera', 'tapi', 'kamera']","['poco', 'pro', 'kamera', 'kamera']","['poco', 'pro', 'kamera', 'kamera']"
UgxDg4CfUdo9vZjqGk54AaABAg,"Poco f4 ku Sdh ganti lcd dan batrei 😢.. 
Performa game udah down bnget",poco f ku sdh ganti lcd dan batrei performa game udah down bnget,"['poco', 'f', 'ku', 'sdh', 'ganti', 'lcd', 'dan', 'batrei', 'performa', 'game', 'udah', 'down', 'bnget']","['poco', 'sdh', 'ganti', 'lcd', 'batrei', 'performa', 'game', 'down', 'bnget']","['poco', 'sdh', 'ganti', 'lcd', 'batrei', 'performa', 'game', 'down', 'bnget']"
UgyAbC33fnCMclijCpp4AaABAg,Poco udh maen di flagship cuyy😬,poco udh maen di flagship cuyy,"['poco', 'udh', 'maen', 'di', 'flagship', 'cuyy']","['poco', 'maen', 'flagship', 'cuyy']","['poco', 'maen', 'flagship', 'cuyy']"
Ugyw9bFFK72XRyam3NF4AaABAg,Apa gw doank yang make prdouk xiaomi tapi ga masalah dengan iklan nya?,apa gw doank yang make prdouk xiaomi tapi ga masalah dengan iklan nya,"['apa', 'gw', 'doank', 'yang', 'make', 'prdouk', 'xiaomi', 'tapi', 'ga', 'masalah', 'dengan', 'iklan', 'nya']","['doank', 'make', 'prdouk', 'xiaomi', 'iklan']","['doank', 'make', 'prdouk', 'xiaomi', 'iklan']"
UgzIJPeh20ZZORcbEIl4AaABAg,Redmagic 10/iqoo13?,redmagic iqoo,"['redmagic', 'iqoo']","['redmagic', 'iqoo']","['redmagic', 'iqoo']"
UgxRuWzP55JeEwX0FFx4AaABAg,Tecno spark 30 pro 😂,tecno spark pro,"['tecno', 'spark', 'pro']","['tecno', 'spark', 'pro']","['tecno', 'spark', 'pro']"
UgzYY3mVGPft_zz7tdZ4AaABAg,Sepemikiran mirip mata sahringan🤣,sepemikiran mirip mata sahringan,"['sepemikiran', 'mirip', 'mata', 'sahringan']","['sepemikiran', 'mata', 'sahringan']","['pikir', 'mata', 'sahringan']"
Ugz_MZGbr91x82SQk354AaABAg,Keterlaluan sih customer suruh beli papan iklan. Dengan ada iklan harusnya HP sudah di bayar pengiklan. Ini masih dijual 10jt ke pelanggan.,keterlaluan sih customer suruh beli papan iklan dengan ada iklan harusnya hp sudah di bayar pengiklan ini masih dijual jt ke pelanggan,"['keterlaluan', 'sih', 'customer', 'suruh', 'beli', 'papan', 'iklan', 'dengan', 'ada', 'iklan', 'harusnya', 'hp', 'sudah', 'di', 'bayar', 'pengiklan', 'ini', 'masih', 'dijual', 'jt', 'ke', 'pelanggan']","['customer', 'suruh', 'beli', 'papan', 'iklan', 'iklan', 'bayar', 'pengiklan', 'dijual', 'pelanggan']","['customer', 'suruh', 'beli', 'papan', 'iklan', 'iklan', 'bayar', 'iklan', 'jual', 'langgan']"
AHFkx1sRcD1AHG-iY8ybUC,Wkwkwkwk yg penting nambah untung bang,wkwkwkwk yg penting nambah untung bang,"['wkwkwkwk', 'yg', 'penting', 'nambah', 'untung', 'bang']","['wkwkwkwk', 'nambah', 'untung']","['wkwkwkwk', 'nambah', 'untung']"
UgzF0-Y-SrC-ntYOOZF4AaABAg,Dah lah gw masih siswa wajar hp bisa sanggup harga 5jt-an 😅,dah lah gw masih siswa wajar hp bisa sanggup harga jtan,"['dah', 'lah', 'gw', 'masih', 'siswa', 'wajar', 'hp', 'bisa', 'sanggup', 'harga', 'jtan']","['dah', 'siswa', 'wajar', 'sanggup', 'harga', 'jtan']","['dah', 'siswa', 'wajar', 'sanggup', 'harga', 'jtan']"
AHF_dCaWUeQAHG-mDmUIhS,5 juta udeh bagus ngab. Siswa budget 2 jutaan merenung,juta udeh bagus ngab siswa budget jutaan merenung,"['juta', 'udeh', 'bagus', 'ngab', 'siswa', 'budget', 'jutaan', 'merenung']","['juta', 'udeh', 'bagus', 'ngab', 'siswa', 'budget', 'jutaan', 'merenung']","['juta', 'udeh', 'bagus', 'ngab', 'siswa', 'budget', 'juta', 'renung']"
AHF_dCaWUeQAHG2Ph1M1lV,@galaxco9669  temen gw ada yg iphone 14 biasa 🗿,galaxco temen gw ada yg iphone biasa,"['galaxco', 'temen', 'gw', 'ada', 'yg', 'iphone', 'biasa']","['galaxco', 'temen', 'iphone']","['galaxco', 'temen', 'iphone']"
