id;text
Ugw1GlvRwhnMR0lPXEd4AaABAg;10jt masih ada iklan, kamera geter😂 mending s24 fe
Ugwstwjevd0F5TsnSzV4AaABAg;Kenapa ya hp redmi banyak iklan punyaku redmi 12..tobat smaa iklannya 😂😂
Ugy9yh_MroOjHSifNu14AaABAg;6:05 poco x3 pro bukan hanya 3 kamera tapi 4 kamera
UgxDg4CfUdo9vZjqGk54AaABAg;"Poco f4 ku Sdh ganti lcd dan batrei 😢.. 
Performa game udah down bnget"
UgyAbC33fnCMclijCpp4AaABAg;Poco udh maen di flagship cuyy😬
Ugyw9bFFK72XRyam3NF4AaABAg;Apa gw doank yang make prdouk xiaomi tapi ga masalah dengan iklan nya?
UgzIJPeh20ZZORcbEIl4AaABAg;Redmagic 10/iqoo13?
UgxRuWzP55JeEwX0FFx4AaABAg;Tecno spark 30 pro 😂
UgzYY3mVGPft_zz7tdZ4AaABAg;Sepemikiran mirip mata sahringan🤣
Ugz_MZGbr91x82SQk354AaABAg;Keterlaluan sih customer suruh beli papan iklan. Dengan ada iklan harusnya HP sudah di bayar pengiklan. Ini masih dijual 10jt ke pelanggan.
AHFkx1sRcD1AHG-iY8ybUC;Wkwkwkwk yg penting nambah untung bang
UgzF0-Y-SrC-ntYOOZF4AaABAg;Dah lah gw masih siswa wajar hp bisa sanggup harga 5jt-an 😅
AHF_dCaWUeQAHG-mDmUIhS;5 juta udeh bagus ngab. Siswa budget 2 jutaan merenung
AHF_dCaWUeQAHG2Ph1M1lV;@galaxco9669  temen gw ada yg iphone 14 biasa 🗿
UgxqoaZDYg2YjoZySH94AaABAg;kameranya kayak mata sharingan di anime naruto..
UgxX9TFI0A7qoKPwJwV4AaABAg;Salut sih sama poco, walaupun dia flagship poco, se enggaknya dia kgk ngasih kamera dummy😂 kek brand sebelah
AHFH2gOZxJVAHG-oV4kAOC;Kek siapa tuh 😂😂
UgwD-AMC5wXVU97i1_x4AaABAg;Android tetaplah android, sekelas f7 ultra masih ada jitter nya pas video😂
AHFFu5SjjE7AHFIbFXA-Pz;15 ultra dong
Ugx5YOuqaJPmDKhpqCZ4AaABAg;Kenapa orang pada pusing sama iklan di poco ya? Padahal gampang banget hilangin di settingan
AHF6OkPD5paAHFIf7eU2Cd;Adguard kadang error ga bisa konek sama skali
UgxkFjtpHSWO7SdWRqx4AaABAg;yg masalahin iklan kenapa sih, user xiaomi udah pasti bisa akalin hal sepele begitu
UgwoXTMk5joF0klhqsd4AaABAg;Ad vidio baru langsung klik
UgytoZo3B8_IyaUXxzt4AaABAg;Tim lihat lihat doang
UgwD1RDqhI4kUQfGqoJ4AaABAg;TIM YANG OTW BELI
UgzGSF0Qz4T4ZXSkRe54AaABAg;Harga sama dengan iqoo 13 ram 12, worth mana tuh kira2?
AHE9oualTMoAHFIjvLpcJx;Iqoo lebih mahal
UgzqKWvc9m3ON3t5J394AaABAg;Nunggu lebaran harganya pasti terjun bebas, tapi yahh sekali lagi iklan 😂
AHE0_tR1oGVAHFIpH5gpL_;Lebaran apa mksd u? Tahun depan? Udah pasti keluar yg baru lg + lebih menggiurkan 😁
Ugz8wBjBP5NABBHOiqh4AaABAg;Msh jitter sih
UgwX4MUllUwB3W6G0Bx4AaABAg;setelah nonton vidio ini saya memilih membeli kopi kapal api 🎉
UgxRfwlhWWmkqbVy6114AaABAg;6:42 logonya mirip shareit🗿
UgyyCxRx9HH2E1YVFPx4AaABAg;Pengen beli hp buat ngonten tapi belum bisa2😢 banyak kebutuhan buat keluarga semoga tahun depan bisa kebeli 😊
Ugz7apW9XTdtiHDXeuF4AaABAg;Udah beli🥰
UgwcRLE8lq0MHMytlAt4AaABAg;Lah. ya kalah ama iqoo yg snapdragon elite.
UgyHTlfv0CU01bgdknV4AaABAg;Kapal api mantap bosque👍
UgwDaBYwLT30hQexZrJ4AaABAg;"Tidak ada jek audio 
  Tidak keturunan murni hp gaming"
AHDIDJ4wm08AHFIxfenuSA;Ga ada bypass jg
Ugzg77JujtVG88SbJkl4AaABAg;videonya masih nge glitch ya
UgzJCbT8e9ZxLGdGs1Z4AaABAg;mantab kopinya.
UgxyJ0VyKsn4Qg-YnvN4AaABAg;Poco the best lah,
Ugz17J8_p1G9QUCTHc54AaABAg;"Akhirnya kebeli juga, mungkin ada kali ya 5 tahun nabung buat beli, akhirnya kebeli juga kopi kapal api.
Kalian yang lagi nabung buat beli kopi semangat ya😀"
AHD4z2IjdXNAHG-tyobDUk;Wkkwkw gpp bang 4 taon lagi secondan tinggal 2 jutaan
Ugz9OVHWWPRwFR-ZEWt4AaABAg;Review hp Xiaomi 15 bang david
UgwwUBCh4GH5brUOUo94AaABAg;Pixel 2 nya boleh tu bang
UgxsrLkzHtLrGNl99Uh4AaABAg;Sssssttttttttssstttttt jgn keras2 ....
UgznEusYTt0KAIgSDmF4AaABAg;Lah baru tau ada f7 ultra
